file_name,angle_nge2,angle_nge1,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10
CQU-DTUB18_1,67.2755,67.3117,67.3935,67.5047,68.3818,69.3863,70.4583,71.4601,72.3145,72.9855,73.4493,73.5515,73.715
CQU-DTUB18_2,67.8021,67.8907,68.0009,68.1475,69.0164,70.0206,71.125,72.179,73.075,73.6149,74.02,74.0148,73.7091
CQU-DTUB18_3,67.0471,67.0387,67.0545,67.1135,67.8768,68.7782,69.8167,70.7927,71.6915,72.2213,72.6796,72.7576,72.339
CQU-DTUB18_4,67.2918,67.3101,67.3615,67.4215,68.1826,69.0903,70.1334,71.0835,71.9261,72.3417,72.6119,72.3832,71.5339
CQU-DTUB18_5,67.0251,67.016,67.0506,67.1081,67.9014,68.8495,69.9081,70.8805,71.7359,72.2669,72.6467,72.5598,71.9378
CQU-DTUB18_6,66.8716,66.8759,66.8992,66.9861,67.8197,68.7892,69.8681,70.9104,71.8139,72.4581,72.9452,73.1578,73.2813
CQU-DTUB18_7,67.2337,67.2489,67.2955,67.3924,68.2556,69.2484,70.3464,71.3536,72.2278,72.8456,73.2105,73.2474,72.9123
CQU-DTUB18_8,67.2565,67.2627,67.3156,67.4119,68.2191,69.1886,70.2732,71.2435,72.109,72.6412,72.974,72.8739,72.3006
CQU-DTUB18_9,67.3641,67.4131,67.5087,67.6173,68.5043,69.5285,70.641,71.7001,72.5858,73.2095,73.5531,73.4931,72.9959
CQU-DTUB18_10,67.3495,67.3762,67.4068,67.4861,68.232,69.1547,70.1872,71.137,71.9491,72.3861,72.6598,72.3828,71.5121
CQU-DTUB18_11,67.7613,67.8436,67.936,68.046,68.9066,69.8912,70.9506,71.9547,72.8129,73.4117,73.8018,73.8502,73.9207
CQU-DTUB18_12,66.9666,66.9554,66.9696,67.0176,67.8044,68.7482,69.7479,70.762,71.6813,72.3048,72.921,73.3889,73.3318
CQU-DTUB18_13,66.9388,66.9255,66.9264,66.9821,67.805,68.7565,69.7938,70.8083,71.6285,72.1316,72.4256,72.2033,71.429
CQU-DTUB18_14,66.9501,66.9494,66.9804,67.04,67.8384,68.7965,69.8697,70.8588,71.729,72.2714,72.6,72.4953,71.8017
CQU-DTUB18_15,67.1156,67.1159,67.132,67.2007,68.0251,69.022,70.093,71.0682,71.9102,72.3797,72.6421,72.3932,71.524
CQU-DTUB18_16,67.189,67.1863,67.2121,67.2991,68.1035,69.0395,70.1056,71.0793,71.9447,72.4263,72.7477,72.5488,71.8371
CQU-DTUB18_17,67.3225,67.3531,67.4304,67.5143,68.344,69.3252,70.4167,71.4184,72.2825,72.7891,73.1028,72.9283,72.1602
CQU-DTUB18_18,67.0209,67.0274,67.0671,67.135,67.9211,68.8749,69.9433,70.958,71.8472,72.4284,72.8807,72.8686,72.4091
CQU-DTUB18_19,67.3823,67.4306,67.5195,67.6298,68.5029,69.5312,70.6525,71.6645,72.575,73.1245,73.506,73.4008,72.8121
CQU-DTUB18_20,67.0353,67.0604,67.0857,67.1741,67.9301,68.8482,69.9248,70.8975,71.7912,72.2796,72.5949,72.4089,71.6437
CQU-DTUB18_21,67.3312,67.3404,67.3746,67.444,68.248,69.1866,70.2049,71.1848,72.0133,72.4706,72.7101,72.4811,71.5966
CQU-DTUB18_22,67.3953,67.4183,67.4792,67.5701,68.414,69.3884,70.4801,71.4804,72.3606,72.9042,73.3093,73.2044,72.6988
CQU-DTUB18_23,66.9994,67.0065,67.0201,67.0508,67.829,68.766,69.7755,70.7751,71.5969,72.0846,72.379,72.1594,71.3575
CQU-DTUB18_24,66.9884,66.9978,67.0206,67.0927,67.9096,68.8513,69.9115,70.9306,71.8453,72.4638,73.0425,73.4616,73.7732
CQU-DTUB18_25,67.374,67.4096,67.4685,67.5792,68.4375,69.4528,70.5702,71.5683,72.4515,72.9841,73.3345,73.2076,72.5409
CQU-DTUB18_26,67.7442,67.793,67.8605,67.9744,68.8068,69.7504,70.7934,71.7664,72.5958,73.04,73.2812,73.033,72.1749
CQU-DTUB18_27,67.551,67.6048,67.6772,67.7757,68.6217,69.5997,70.6859,71.6944,72.5119,73.047,73.3321,73.1268,72.3269
CQU-DTUB18_28,67.1209,67.1435,67.1911,67.2944,68.1094,69.0736,70.1461,71.1735,72.0292,72.6143,72.9925,72.9086,72.4405
CQU-DTUB18_29,67.1368,67.1506,67.1869,67.2845,68.1214,69.1091,70.2157,71.2179,72.1322,72.7217,73.118,73.1357,72.849
CQU-DTUB18_30,67.1211,67.1197,67.1422,67.2144,67.959,68.8737,69.9109,70.8793,71.7303,72.2873,72.6503,72.6137,72.053
CQU-DTUB18_31,67.0512,67.0709,67.1208,67.1678,67.9465,68.9019,69.9409,70.9412,71.8165,72.3616,72.7136,72.6196,71.9928
CQU-DTUB18_32,66.5818,66.5441,66.5192,66.5361,67.3025,68.1644,69.1982,70.1644,71.0357,71.5592,72.0148,72.0428,71.4922
CQU-DTUB18_33,67.1553,67.1667,67.2025,67.2903,68.132,69.1102,70.1762,71.1896,72.0904,72.6977,73.1894,73.4595,73.7549
CQU-DTUB18_34,67.1944,67.2043,67.1979,67.2324,67.996,68.8665,69.8598,70.8211,71.6386,72.0729,72.3463,72.122,71.3059
CQU-DTUB18_35,67.111,67.1218,67.1561,67.2286,68.0495,68.9587,70.0118,71.0288,71.8771,72.3819,72.7105,72.5639,71.8365
CQU-DTUB18_36,67.1898,67.206,67.2347,67.3042,68.0472,68.9562,69.9993,70.9416,71.7717,72.2096,72.4926,72.241,71.3565
CQU-DTUB18_37,67.2179,67.2451,67.2599,67.3323,68.1326,69.095,70.1199,71.1149,71.9501,72.4441,72.685,72.474,71.6685
CQU-DTUB18_38,67.2921,67.3169,67.3618,67.4555,68.2753,69.2574,70.3357,71.3244,72.226,72.7871,73.1568,73.1643,72.6897
CQU-DTUB18_39,66.9985,67.0013,67.0176,67.0629,67.8532,68.7906,69.8345,70.8204,71.75,72.3776,72.882,73.242,73.332
CQU-DTUB18_40,67.04,67.0626,67.0967,67.1565,67.9375,68.8888,69.9252,70.9448,71.8125,72.3417,72.7007,72.5687,71.9222
CQU-DTUB18_41,67.5347,67.5779,67.6234,67.7052,68.4961,69.4534,70.4909,71.4473,72.2902,72.7272,72.9903,72.7569,71.9137
CQU-DTUB18_42,67.041,67.0462,67.0778,67.1674,67.9856,68.9517,70.0169,71.0701,71.9487,72.5701,73.004,73.1512,72.9824
CQU-DTUB18_43,67.1155,67.1128,67.1451,67.2078,67.9989,68.9489,70.0017,70.971,71.8497,72.4015,72.8101,72.8803,72.5467
CQU-DTUB18_44,67.131,67.1495,67.1804,67.2351,68.0127,68.9346,69.9878,70.9762,71.8406,72.4052,72.8048,72.8095,72.3489
CQU-DTUB18_45,67.6014,67.6522,67.7272,67.8431,68.7024,69.6994,70.8007,71.7897,72.6512,73.1709,73.4585,73.2538,72.4747
CQU-DTUB18_46,67.0837,67.0923,67.1012,67.1491,67.9184,68.8337,69.8384,70.8304,71.6852,72.1881,72.4969,72.402,71.7253
CQU-DTUB18_47,66.8642,66.842,66.8498,66.9003,67.6767,68.5855,69.6267,70.6176,71.5004,72.0263,72.3706,72.3005,71.6006
CQU-DTUB18_48,67.1156,67.1185,67.1527,67.2092,68.01,68.9675,70.0406,70.9986,71.8426,72.3075,72.587,72.3472,71.5339
CQU-DTUB18_49,67.2044,67.2241,67.2553,67.3636,68.1244,69.0636,70.1361,71.1047,71.9663,72.4937,72.8245,72.6879,71.9893
CQU-DTUB18_50,66.6956,66.6461,66.6463,66.7004,67.4567,68.3698,69.4231,70.4198,71.3388,71.9723,72.5036,72.7637,72.4911
CQU-DTUB18_51,66.6874,66.6498,66.6327,66.6658,67.4306,68.3472,69.3638,70.3547,71.2459,71.8265,72.2807,72.3589,71.8821
CQU-DTUB18_52,66.7658,66.7325,66.7513,66.8095,67.5837,68.521,69.5869,70.5648,71.4474,72.0464,72.4426,72.4642,72.0181
CQU-DTUB18_53,67.3912,67.4169,67.4798,67.5715,68.403,69.3989,70.4495,71.4544,72.3397,72.8953,73.2491,73.1387,72.5013
CQU-DTUB18_54,67.4392,67.4656,67.5374,67.6536,68.5285,69.5117,70.571,71.6011,72.4559,73.0102,73.3329,73.1924,72.5381
CQU-DTUB18_55,66.9397,66.9015,66.9239,66.9588,67.7432,68.6924,69.7041,70.7003,71.5453,72.0659,72.3869,72.2639,71.5906
CQU-DTUB18_56,67.1771,67.1717,67.1984,67.2712,68.0875,69.0603,70.0734,71.0714,71.9704,72.5645,73.0212,73.2484,73.1849
CQU-DTUB18_57,67.1489,67.155,67.1642,67.2299,68.0438,69.0025,70.035,71.0501,71.8689,72.385,72.6944,72.5679,71.8321
CQU-DTUB18_58,67.1546,67.1564,67.1584,67.2256,68.034,68.9693,69.9975,70.9923,71.8471,72.3492,72.6607,72.5381,71.9096
CQU-DTUB18_59,67.1965,67.2204,67.2277,67.2914,68.0556,68.9964,69.9916,70.9888,71.8567,72.3776,72.7965,72.8721,72.4335
CQU-DTUB18_60,67.7045,67.7816,67.8745,68.0012,68.8845,69.8967,70.9871,72.0428,72.9115,73.4809,73.8278,73.7408,73.1775
CQU-DTUB18_61,66.9343,66.926,66.9421,67.0274,67.8706,68.8264,69.8819,70.9141,71.7989,72.3893,72.8485,73.0268,72.935
CQU-DTUB18_62,67.4888,67.5268,67.5837,67.6911,68.4882,69.4279,70.4457,71.4857,72.3239,72.8328,73.1744,73.074,72.4214
CQU-DTUB18_63,67.6377,67.7009,67.7833,67.9065,68.802,69.8079,70.9154,71.9108,72.7887,73.3363,73.6916,73.59,72.9982
CQU-DTUB18_64,67.1819,67.2006,67.2584,67.3717,68.2287,69.2118,70.2903,71.3399,72.1771,72.7348,73.0947,72.9887,72.3962
CQU-DTUB18_65,67.5273,67.5732,67.6433,67.7528,68.6135,69.6282,70.6785,71.6823,72.5666,73.0895,73.3799,73.1868,72.4662
CQU-DTUB18_66,67.3473,67.3698,67.392,67.4785,68.3029,69.2373,70.2771,71.2689,72.0734,72.5497,72.7609,72.5127,71.6121
CQU-DTUB18_67,67.2541,67.2727,67.2951,67.3564,68.1269,69.0772,70.0812,71.0643,71.8732,72.3605,72.6426,72.4261,71.6335
CQU-DTUB18_68,67.3489,67.3413,67.3641,67.4199,68.1729,69.0527,70.0359,70.982,71.7956,72.174,72.3909,72.0799,71.1495
CQU-DTUB18_69,67.4925,67.5071,67.5501,67.6363,68.4652,69.4027,70.4445,71.4457,72.2318,72.7157,72.9469,72.6803,71.8017
CQU-DTUB18_70,66.974,66.9699,66.9884,67.051,67.7996,68.7039,69.7464,70.7229,71.5721,72.0776,72.4217,72.3151,71.5819
CQU-DTUB18_71,67.4592,67.4874,67.5541,67.6255,68.3901,69.3072,70.363,71.3143,72.1637,72.6235,72.9098,72.6992,71.9416
CQU-DTUB18_72,67.0322,67.0481,67.0959,67.17,67.9537,68.8883,69.9639,70.9585,71.8583,72.4179,72.8118,72.7863,72.2761
CQU-DTUB18_73,67.1406,67.1459,67.1697,67.2211,67.9939,68.8841,69.9406,70.8871,71.7505,72.2487,72.6229,72.4871,71.8472
CQU-DTUB18_74,66.7927,66.7621,66.7832,66.8365,67.6386,68.5598,69.6093,70.6074,71.5219,72.1563,72.6761,72.9378,72.7694
CQU-DTUB18_75,67.4393,67.4955,67.5672,67.69,68.5778,69.589,70.6774,71.6924,72.5972,73.145,73.4992,73.4053,72.7913
CQU-DTUB18_76,67.5519,67.6118,67.7073,67.8293,68.7177,69.7311,70.8297,71.8772,72.7763,73.3679,73.7026,73.6265,73.0823
CQU-DTUB18_77,67.0979,67.1174,67.1433,67.2337,68.059,69.0509,70.1473,71.134,72.0272,72.5706,72.9176,72.8038,72.201
CQU-DTUB18_78,67.0368,67.0601,67.0907,67.1891,68.0266,69.0348,70.1185,71.1288,72.0234,72.6189,73.0053,73.0203,72.552
CQU-DTUB18_79,66.8088,66.7996,66.8182,66.8759,67.6458,68.5875,69.6084,70.6349,71.5809,72.1563,72.6976,72.9301,72.777
CQU-DTUB18_80,66.7819,66.7518,66.761,66.8281,67.6252,68.5658,69.6394,70.618,71.5043,72.0753,72.4648,72.4135,71.8401
CQU-DTUB18_81,67.1045,67.1433,67.203,67.2802,68.0802,69.0462,70.143,71.1495,72.0773,72.6133,73.0045,72.955,72.3745
CQU-DTUB18_82,66.9404,66.913,66.9212,66.9485,67.6905,68.5924,69.5955,70.5603,71.3659,71.8296,72.1104,71.892,71.0956
CQU-DTUB18_83,67.0323,67.0209,67.0352,67.1085,67.8908,68.8004,69.8351,70.8299,71.6781,72.1574,72.4682,72.2739,71.5462
CQU-DTUB18_84,67.0137,67.0148,67.0444,67.117,67.8937,68.8357,69.907,70.8756,71.7451,72.2191,72.504,72.2834,71.5089
CQU-DTUB18_85,67.0956,67.0922,67.1217,67.1911,68.0195,68.9526,70.0038,71.0255,71.8276,72.3314,72.5694,72.3304,71.4809
CQU-DTUB18_86,67.0989,67.1148,67.1489,67.2008,67.9741,68.891,69.9287,70.895,71.852,72.4284,73.057,73.5582,73.7477
CQU-DTUB18_87,66.7096,66.6848,66.6737,66.7162,67.4857,68.3814,69.4124,70.4088,71.302,71.8772,72.3046,72.2993,71.7577
CQU-DTUB18_88,66.7332,66.7167,66.7386,66.7903,67.584,68.5394,69.555,70.5958,71.5263,72.1569,72.7181,73.1505,73.1444
CQU-DTUB18_89,67.4438,67.4731,67.5452,67.6351,68.4985,69.4825,70.5586,71.5933,72.4355,73.0074,73.4235,73.36,73.0282
CQU-DTUB18_90,67.1684,67.1555,67.155,67.2112,67.9828,68.8828,69.8913,70.8619,71.6678,72.1068,72.3657,72.1194,71.3083
CQU-DTUB18_91,67.0285,67.0262,67.0366,67.1025,67.9214,68.8926,69.9312,70.9288,71.7807,72.2999,72.606,72.4303,71.6849
CQU-DTUB18_92,67.2803,67.2839,67.3043,67.3917,68.2129,69.1748,70.2077,71.1983,72.0303,72.4958,72.7349,72.5038,71.6286
CQU-DTUB18_93,67.2377,67.2748,67.3408,67.4385,68.2563,69.2268,70.3086,71.337,72.22,72.7846,73.1861,73.1463,72.6331
CQU-DTUB18_94,67.2454,67.269,67.299,67.3549,68.1284,69.0658,70.0685,71.0813,71.9612,72.4783,72.8924,72.8732,72.4041
CQU-DTUB18_95,67.0485,67.0516,67.0793,67.1534,67.9665,68.9554,70.0176,71.0119,71.8708,72.4099,72.73,72.6444,72.0199
CQU-DTUB18_96,67.0422,67.0569,67.0947,67.1559,67.9537,68.8537,69.9008,70.9015,71.7877,72.2758,72.6211,72.4729,71.7838
CQU-DTUB18_97,67.2928,67.3196,67.3347,67.4083,68.1918,69.1512,70.1533,71.167,71.9882,72.5174,72.8481,72.7644,72.21
CQU-DTUB18_98,66.8285,66.8226,66.861,66.9154,67.6937,68.6297,69.7099,70.6953,71.6133,72.2011,72.6634,72.807,72.4703
CQU-DTUB18_99,66.9886,66.9584,66.9729,67.02,67.8093,68.7131,69.753,70.725,71.5837,72.0512,72.3483,72.1783,71.4016
CQU-DTUB18_100,67.1399,67.1337,67.1552,67.2307,68.0268,68.9526,70.0169,70.9898,71.853,72.3621,72.6927,72.5815,71.9334
CQU-DTUB18_101,66.6737,66.6223,66.6062,66.6551,67.4232,68.315,69.355,70.3281,71.2258,71.8026,72.2444,72.3225,71.8626
CQU-DTUB18_102,67.3149,67.3171,67.3346,67.4107,68.181,69.082,70.1043,71.071,71.8829,72.3168,72.5736,72.3198,71.4747
CQU-DTUB18_103,67.1545,67.1527,67.1629,67.2381,68.0675,69.0566,70.1083,71.0818,71.9309,72.3877,72.6507,72.4001,71.5646
CQU-DTUB18_104,67.463,67.4979,67.5757,67.6863,68.5222,69.4999,70.5835,71.5985,72.4417,72.9625,73.2763,73.0981,72.3551
CQU-DTUB18_105,66.9442,66.925,66.937,66.9981,67.8053,68.7347,69.7688,70.7864,71.6463,72.154,72.5093,72.3782,71.7111
CQU-DTUB18_106,66.9478,66.944,66.9437,66.9723,67.7275,68.6316,69.6246,70.6076,71.5031,72.0624,72.5801,72.7198,72.3201
CQU-DTUB18_107,67.0209,67.0308,67.0577,67.1146,67.9021,68.8649,69.8954,70.9181,71.7833,72.3454,72.745,72.7309,72.2041
CQU-DTUB18_108,66.7723,66.7435,66.754,66.8078,67.5924,68.5122,69.5428,70.5478,71.464,72.1073,72.5981,72.8084,72.6432
CQU-DTUB18_109,66.7976,66.7913,66.812,66.8755,67.6804,68.6527,69.6819,70.7131,71.6483,72.2553,72.7446,73.0004,72.9083
CQU-DTUB18_110,67.1602,67.1883,67.2425,67.3115,68.1046,69.0777,70.1418,71.1308,72.0224,72.5235,72.8503,72.723,72.0013
CQU-DTUB18_111,67.3903,67.4142,67.4696,67.5491,68.3535,69.2717,70.3097,71.3051,72.1476,72.6235,72.9189,72.7414,71.9633
CQU-DTUB18_112,67.0139,67.0175,67.036,67.0955,67.9179,68.8887,69.9419,70.953,71.8263,72.4031,72.7604,72.7216,72.2826
CQU-DTUB18_113,67.2072,67.2258,67.2696,67.3434,68.1662,69.0869,70.1342,71.1449,72.0044,72.4999,72.8337,72.7183,72.0115
CQU-DTUB18_114,67.2086,67.2521,67.3143,67.4229,68.2615,69.244,70.3348,71.3847,72.2412,72.8139,73.1836,73.1121,72.5462
CQU-DTUB18_115,66.7891,66.7724,66.7659,66.8151,67.6308,68.575,69.6086,70.6178,71.4936,72.0411,72.4465,72.4439,71.9902
CQU-DTUB18_116,66.9794,66.9994,67.0396,67.101,67.853,68.7963,69.8453,70.8586,71.7341,72.2741,72.672,72.6309,72.0469
CQU-DTUB18_117,66.9302,66.9101,66.9243,66.9906,67.7157,68.6225,69.6424,70.644,71.5217,72.0864,72.5202,72.6035,72.1328
CQU-DTUB18_118,66.7845,66.7346,66.7313,66.7852,67.5584,68.466,69.5153,70.5066,71.3857,71.948,72.4139,72.4856,72.0347
CQU-DTUB18_119,67.2453,67.2459,67.2583,67.3336,68.1104,69.0221,70.036,71.0298,71.812,72.2526,72.4663,72.1972,71.3005
